iter	Passed	Remaining
0	64	12925
1	75	7453
2	84	5576
3	94	4640
4	103	4043
5	113	3655
6	121	3363
7	131	3162
8	141	2998
9	150	2861
10	159	2746
11	170	2663
12	179	2575
13	188	2499
14	197	2432
15	206	2369
16	215	2315
17	224	2266
18	233	2226
19	243	2187
20	252	2148
21	260	2109
22	270	2078
23	278	2045
24	287	2013
25	296	1984
26	306	1961
27	314	1934
28	323	1908
29	332	1886
30	341	1863
31	351	1843
32	360	1825
33	369	1802
34	377	1781
35	386	1762
36	395	1742
37	403	1722
38	412	1702
39	420	1683
40	430	1667
41	439	1652
42	447	1634
43	456	1617
44	464	1601
45	475	1591
46	484	1576
47	492	1560
48	501	1544
49	509	1529
50	518	1514
51	527	1500
52	535	1485
53	544	1473
54	553	1459
55	562	1446
56	571	1432
57	579	1419
58	588	1406
59	596	1392
60	605	1380
61	613	1365
62	621	1352
63	630	1340
64	639	1327
65	648	1316
66	657	1304
67	667	1294
68	675	1282
69	683	1269
70	693	1259
71	701	1247
72	710	1235
73	718	1223
74	727	1212
75	735	1200
76	744	1189
77	754	1179
78	762	1168
79	771	1157
80	779	1145
81	788	1134
82	796	1123
83	805	1113
84	816	1104
85	826	1095
86	835	1084
87	843	1074
88	852	1063
89	860	1051
90	869	1041
91	878	1031
92	887	1021
93	896	1011
94	905	1000
95	914	990
96	923	980
97	931	969
98	943	962
99	953	953
100	962	943
101	970	932
102	978	921
103	987	911
104	995	900
105	1003	889
106	1011	879
107	1020	869
108	1028	858
109	1037	848
110	1046	838
111	1054	828
112	1063	818
113	1071	808
114	1080	798
115	1088	788
116	1097	778
117	1105	768
118	1113	758
119	1122	748
120	1131	738
121	1140	728
122	1148	719
123	1158	709
124	1166	700
125	1174	689
126	1183	680
127	1193	671
128	1202	661
129	1210	651
130	1219	642
131	1228	632
132	1237	623
133	1245	613
134	1252	603
135	1261	593
136	1270	584
137	1278	574
138	1286	564
139	1295	555
140	1303	545
141	1311	535
142	1319	525
143	1327	516
144	1335	506
145	1343	496
146	1351	487
147	1359	477
148	1368	468
149	1376	458
150	1385	449
151	1393	440
152	1401	430
153	1410	421
154	1418	411
155	1426	402
156	1435	393
157	1444	383
158	1452	374
159	1460	365
160	1468	355
161	1477	346
162	1485	337
163	1493	327
164	1502	318
165	1510	309
166	1519	300
167	1527	290
168	1535	281
169	1543	272
170	1552	263
171	1561	254
172	1569	245
173	1578	235
174	1586	226
175	1594	217
176	1604	208
177	1613	199
178	1621	190
179	1629	181
180	1637	171
181	1646	162
182	1655	153
183	1664	144
184	1672	135
185	1679	126
186	1687	117
187	1696	108
188	1704	99
189	1712	90
190	1720	81
191	1729	72
192	1737	63
193	1745	53
194	1753	44
195	1761	35
196	1769	26
197	1777	17
198	1784	8
199	1793	0
