,id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,score,ranking
96873,502983,Male,44,1,47.0,1,1-2 Year,No,32939.0,152.0,40,0.0004703418182807652,96874
92429,382662,Female,33,1,32.0,1,< 1 Year,No,2630.0,152.0,179,0.0005200782483988506,92430
7731,394368,Male,41,1,18.0,0,1-2 Year,Yes,25243.0,26.0,24,0.3864780535737136,7732
54645,387670,Male,72,1,37.0,0,1-2 Year,Yes,48380.0,124.0,299,0.08744947186873578,54646
88508,411695,Female,23,1,28.0,1,< 1 Year,No,51736.0,152.0,278,0.0005744733241018858,88509
57095,440295,Male,40,1,9.0,0,1-2 Year,Yes,35493.0,152.0,237,0.06978697316417642,57096
30130,433615,Female,31,1,28.0,0,< 1 Year,Yes,31696.0,152.0,248,0.25834841461025304,30131
56152,475557,Female,80,1,28.0,0,1-2 Year,Yes,34687.0,124.0,86,0.07668902693244398,56153
104374,396294,Female,25,1,13.0,1,< 1 Year,No,25936.0,152.0,100,0.00039981121428222805,104375
116513,384591,Male,26,1,45.0,1,< 1 Year,No,43402.0,152.0,121,0.00029702539587120807,116514
120032,466792,Male,24,1,6.0,1,< 1 Year,No,19287.0,152.0,183,0.00026625097894841793,120033
104110,452468,Female,25,1,30.0,1,< 1 Year,No,35520.0,152.0,268,0.00040209406373866265,104111
4967,410647,Male,37,1,45.0,0,1-2 Year,Yes,31874.0,124.0,148,0.4121697500601661,4968
9562,505744,Male,48,1,41.0,0,1-2 Year,Yes,29788.0,12.0,197,0.3728121147685883,9563
98601,414637,Female,72,1,3.0,1,1-2 Year,No,40255.0,124.0,116,0.00045261759205240785,98602
116585,488515,Male,23,1,47.0,1,< 1 Year,No,54041.0,152.0,95,0.00029645126452189135,116586
9272,479049,Female,43,1,28.0,0,1-2 Year,Yes,41934.0,26.0,34,0.3748527669454193,9273
61649,500931,Female,40,1,48.0,0,1-2 Year,No,2630.0,15.0,277,0.03853935655913345,61650
107713,493601,Male,27,1,50.0,1,< 1 Year,No,29834.0,152.0,82,0.000370328805276165,107714
53108,476148,Female,69,1,8.0,0,1-2 Year,Yes,2630.0,26.0,246,0.0979509001785821,53109
10510,497988,Male,43,1,28.0,0,1-2 Year,Yes,2630.0,26.0,279,0.366080081301294,10511
2014,479234,Male,39,1,30.0,0,1-2 Year,Yes,38371.0,124.0,214,0.4573111073209353,2015
125235,440513,Female,64,1,40.0,1,1-2 Year,No,38068.0,26.0,275,0.00020180881773221011,125236
112812,470839,Male,23,1,10.0,1,< 1 Year,No,36426.0,152.0,102,0.0003278432006906825,112813
106890,420094,Male,60,1,8.0,1,1-2 Year,No,30997.0,26.0,85,0.00037730937549350753,106891
93456,383083,Female,47,1,41.0,1,1-2 Year,No,35032.0,26.0,68,0.0005074427682082881,93457
570,423826,Female,30,1,13.0,0,1-2 Year,Yes,28752.0,124.0,14,0.5094060943238867,571
63305,436910,Male,60,1,36.0,0,1-2 Year,No,33699.0,31.0,169,0.02952005999369589,63306
85542,469664,Male,50,1,8.0,1,1-2 Year,No,28003.0,30.0,48,0.0006272074698466436,85543
76115,391087,Female,55,1,28.0,1,1-2 Year,No,2630.0,24.0,48,0.0010516501013694195,76116
112233,411000,Male,23,1,12.0,1,< 1 Year,No,18907.0,152.0,197,0.00033240475843147177,112234
26636,383585,Female,42,1,15.0,0,1-2 Year,Yes,28357.0,42.0,209,0.2768996004842073,26637
28873,440271,Male,56,1,46.0,0,1-2 Year,Yes,25712.0,26.0,136,0.2651707038247143,28874
38528,461821,Female,48,1,28.0,0,1-2 Year,Yes,2630.0,60.0,140,0.20697687351692834,38529
115966,453059,Male,27,1,35.0,1,< 1 Year,No,49271.0,152.0,82,0.0003018459887882363,115967
60933,476645,Female,21,1,26.0,0,< 1 Year,Yes,37228.0,152.0,217,0.04323414611478397,60934
11038,425786,Male,40,1,36.0,0,1-2 Year,Yes,2630.0,156.0,59,0.3622987844745628,11039
121954,492492,Female,58,1,45.0,1,1-2 Year,No,27839.0,152.0,248,0.00024689622081163723,121955
79872,461224,Male,60,1,8.0,1,1-2 Year,No,22910.0,25.0,132,0.0008005198918092009,79873
43244,433695,Female,25,1,11.0,0,< 1 Year,Yes,14483.0,152.0,24,0.17243418802740146,43245
119785,406234,Female,23,1,30.0,1,< 1 Year,No,16080.0,152.0,142,0.00026851823198936704,119786
29695,488171,Female,48,1,28.0,0,1-2 Year,Yes,38441.0,124.0,50,0.2606662041606465,29696
42938,449363,Male,45,1,48.0,0,1-2 Year,Yes,2630.0,124.0,86,0.17472343850814445,42939
31134,456678,Female,46,1,23.0,0,> 2 Years,Yes,36193.0,26.0,284,0.2525939743921177,31135
19386,506022,Male,53,1,28.0,0,1-2 Year,Yes,31816.0,26.0,170,0.3138351038156693,19387
6971,385395,Male,35,1,28.0,0,1-2 Year,Yes,37145.0,124.0,275,0.3930244466367267,6972
62077,451210,Female,26,1,17.0,0,< 1 Year,Yes,2630.0,152.0,27,0.03602083791355545,62078
32782,492054,Male,38,1,50.0,0,> 2 Years,Yes,23569.0,124.0,247,0.2432454716134581,32783
67927,419156,Female,22,1,13.0,0,< 1 Year,No,2630.0,152.0,35,0.012358902422063745,67928
299,398913,Male,29,1,41.0,0,< 1 Year,Yes,27510.0,124.0,225,0.5330551975356322,300
