,id,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,score,ranking
0,462577,Male,33,1,7.0,0,1-2 Year,Yes,23961.0,163.0,207,0.6939825638045838,1
1,474441,Male,33,1,41.0,0,< 1 Year,Yes,20153.0,155.0,58,0.6750466556122672,2
2,386315,Male,38,1,41.0,0,1-2 Year,Yes,29160.0,163.0,207,0.6704973965555394,3
3,426516,Female,33,1,35.0,0,1-2 Year,Yes,29265.0,163.0,238,0.6563082006865552,4
4,387873,Female,31,1,10.0,0,1-2 Year,Yes,29340.0,163.0,19,0.6551729605261362,5
5,455993,Male,31,1,3.0,0,< 1 Year,Yes,22959.0,124.0,298,0.6512375370007663,6
6,385055,Male,38,1,15.0,0,1-2 Year,Yes,39586.0,163.0,270,0.6455040271223293,7
7,454851,Female,37,1,35.0,0,1-2 Year,Yes,26106.0,163.0,13,0.6432793982188736,8
8,502455,Male,34,1,3.0,0,1-2 Year,Yes,26455.0,163.0,267,0.640734181394251,9
9,418489,Male,34,1,3.0,0,1-2 Year,Yes,25479.0,163.0,297,0.6400186116588009,10
10,412618,Male,34,1,41.0,0,1-2 Year,Yes,28345.0,163.0,236,0.6304660586503149,11
11,383705,Male,38,1,11.0,0,1-2 Year,Yes,34480.0,156.0,222,0.6304509038730116,12
12,442205,Female,32,1,30.0,0,< 1 Year,Yes,21704.0,156.0,294,0.6286294616289817,13
13,428306,Female,33,1,3.0,0,1-2 Year,Yes,29617.0,155.0,130,0.6276582052289952,14
14,444680,Male,36,1,35.0,0,1-2 Year,Yes,28604.0,163.0,40,0.6239188736111175,15
15,467632,Female,30,1,41.0,0,1-2 Year,Yes,27558.0,163.0,24,0.6213139742334413,16
16,496702,Male,48,1,35.0,0,1-2 Year,Yes,26912.0,26.0,12,0.6201510245662929,17
17,452369,Female,31,1,41.0,0,1-2 Year,Yes,23565.0,163.0,48,0.6199239724062774,18
18,495284,Male,40,1,11.0,0,1-2 Year,Yes,29612.0,163.0,224,0.6170078840161307,19
19,393876,Male,36,1,30.0,0,1-2 Year,Yes,27341.0,26.0,16,0.6163662355580333,20
20,500583,Female,28,1,28.0,0,< 1 Year,Yes,46575.0,121.0,99,0.6160246239605766,21
21,431272,Male,33,1,41.0,0,< 1 Year,Yes,25425.0,163.0,231,0.6129691600007933,22
22,402328,Male,29,1,41.0,0,1-2 Year,Yes,28635.0,124.0,259,0.6129115633846063,23
23,440552,Male,30,1,6.0,0,1-2 Year,Yes,24856.0,124.0,185,0.6121336964161673,24
24,446265,Male,35,1,30.0,0,1-2 Year,Yes,29117.0,124.0,219,0.6099663739707801,25
25,439723,Male,33,1,45.0,0,1-2 Year,Yes,28035.0,163.0,157,0.6099504997716451,26
26,499356,Female,22,1,41.0,0,< 1 Year,Yes,27304.0,163.0,12,0.6091538114564491,27
27,447182,Female,31,1,41.0,0,1-2 Year,Yes,20475.0,124.0,286,0.608565201526037,28
28,480205,Female,34,1,14.0,0,1-2 Year,Yes,40480.0,163.0,280,0.6078052200761447,29
29,417569,Female,35,1,29.0,0,1-2 Year,Yes,24734.0,124.0,82,0.6059381869561321,30
30,493444,Male,33,1,3.0,0,1-2 Year,Yes,2630.0,157.0,281,0.6046749082848752,31
31,419906,Male,34,1,4.0,0,1-2 Year,Yes,17555.0,124.0,298,0.6037571919230706,32
32,465119,Male,29,1,29.0,0,1-2 Year,Yes,59255.0,124.0,156,0.6031413672669612,33
33,441826,Male,36,1,37.0,0,1-2 Year,Yes,26933.0,163.0,292,0.6013601713404148,34
34,435093,Female,30,1,29.0,0,1-2 Year,Yes,2630.0,163.0,39,0.6012081137989399,35
35,501259,Female,28,1,41.0,0,1-2 Year,Yes,27142.0,163.0,140,0.6008001808158283,36
36,423322,Male,32,1,41.0,0,< 1 Year,Yes,19460.0,124.0,237,0.6003433443637336,37
37,420882,Male,31,1,41.0,0,1-2 Year,Yes,21245.0,124.0,190,0.5998480845899024,38
38,440724,Male,33,1,18.0,0,1-2 Year,Yes,27072.0,163.0,66,0.5990748710924224,39
39,452673,Male,33,1,41.0,0,< 1 Year,Yes,43671.0,124.0,66,0.5983937301954524,40
40,476782,Female,32,1,30.0,0,1-2 Year,Yes,27342.0,163.0,255,0.5977689545072352,41
41,420662,Female,45,1,29.0,0,1-2 Year,Yes,29251.0,124.0,12,0.596964149102026,42
42,480067,Male,30,1,41.0,0,1-2 Year,Yes,25312.0,124.0,73,0.5963999063327923,43
43,471236,Male,47,1,28.0,0,1-2 Year,Yes,67171.0,26.0,291,0.5926614020585036,44
44,416800,Male,35,1,41.0,0,1-2 Year,Yes,25797.0,124.0,262,0.5920230694322643,45
45,494498,Male,31,1,11.0,0,1-2 Year,Yes,33607.0,124.0,62,0.5919408579027136,46
46,429095,Male,44,1,28.0,0,1-2 Year,Yes,51739.0,26.0,290,0.591549942973303,47
47,468242,Female,34,1,23.0,0,1-2 Year,Yes,29294.0,26.0,158,0.5893599404457875,48
48,482134,Male,31,1,29.0,0,1-2 Year,Yes,24833.0,26.0,61,0.5880880418130822,49
49,507634,Male,43,1,41.0,0,1-2 Year,Yes,27653.0,163.0,243,0.5880579946879858,50
